trainer,nnUNetTrainerBaseline_500epochs,nnUNetTrainerBaseline_500epochs (nnUNetResEncUNetMPlans),nnUNetTrainerFocalTversky_500epochs,nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full,nnUNetTrainerLesionAwareSamplingPow_500epochs_full,nnUNetTrainerLesionAwareSampling_500epochs_full,nnUNetTrainerTverskyMild_500epochs,nnUNetTrainerWideAugBaseline_500epochs,nnUNetTrainerWideAugBaseline_500epochs (nnUNetResEncUNetMPlans)
nnUNetTrainerBaseline_500epochs,1.0,0.8973973585187652,0.8738296595114087,0.8534649022453884,0.922740358036149,0.9724717477946954,0.8824711190370031,0.979636159195516,0.9176315340834322
nnUNetTrainerBaseline_500epochs (nnUNetResEncUNetMPlans),0.8973973585187652,1.0,0.7527831547398462,0.7818701746594334,0.8626780909982271,0.8687270324732315,0.741462420508002,0.9033134419904246,0.9505213862678489
nnUNetTrainerFocalTversky_500epochs,0.8738296595114087,0.7527831547398462,1.0,0.831225139325071,0.787494224574585,0.8419140163708769,0.9498937655661521,0.8593865141920137,0.7953895022066272
nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full,0.8534649022453884,0.7818701746594334,0.831225139325071,1.0,0.9235023821622709,0.9095029043019484,0.8582060887550306,0.8613702005581189,0.8194943429427767
nnUNetTrainerLesionAwareSamplingPow_500epochs_full,0.922740358036149,0.8626780909982271,0.787494224574585,0.9235023821622709,1.0,0.9647094480638351,0.8145054234736556,0.9393515498412701,0.8750485790637496
nnUNetTrainerLesionAwareSampling_500epochs_full,0.9724717477946954,0.8687270324732315,0.8419140163708769,0.9095029043019484,0.9647094480638351,1.0,0.8701171142208598,0.9582981982887782,0.9127147573939236
nnUNetTrainerTverskyMild_500epochs,0.8824711190370031,0.741462420508002,0.9498937655661521,0.8582060887550306,0.8145054234736556,0.8701171142208598,1.0,0.8528540811590828,0.7812495005540461
nnUNetTrainerWideAugBaseline_500epochs,0.979636159195516,0.9033134419904246,0.8593865141920137,0.8613702005581189,0.9393515498412701,0.9582981982887782,0.8528540811590828,1.0,0.9049766934308481
nnUNetTrainerWideAugBaseline_500epochs (nnUNetResEncUNetMPlans),0.9176315340834322,0.9505213862678489,0.7953895022066272,0.8194943429427767,0.8750485790637496,0.9127147573939236,0.7812495005540461,0.9049766934308481,1.0
