breakdown_type,breakdown_value,metric,n_cases,ensemble_Baseline+WideAugBaseline (ResEncM)+FocalTversky+LesionAwareSamplingPowCurriculum_mean,Baseline_mean,WideAugBaseline (ResEncM)_mean,vs_trainer,mean_diff,ci_low,ci_high,p_value,significant,ensemble_better
overall,pooled,dice,249,0.6549037349490686,0.6529837617319423,0.6551762204959866,WideAugBaseline (ResEncM),-0.00027248554691801613,-0.007505151305817872,0.007404414046092926,0.971,False,False
overall,pooled,hd95_mm,249,16.41169665045588,17.939242416476112,17.09481394231561,WideAugBaseline (ResEncM),-0.16810332620890156,-1.4202739799462611,0.9827543442942763,0.787,False,False
overall,pooled,lesion_f1,249,0.664039097151547,0.6371251378804813,0.6570173231760759,WideAugBaseline (ResEncM),0.0070217739754711165,-0.012979565998612778,0.02648005201415901,0.483,False,False
split,test_id,dice,120,0.6359529797848064,0.6278186515607928,0.6392933135800938,WideAugBaseline (ResEncM),-0.0033403337952873534,-0.011959396519598917,0.004748719342160899,0.429,False,False
split,test_id,hd95_mm,120,19.50109012691969,21.880924392866508,20.038824349159974,WideAugBaseline (ResEncM),-0.21421751742351583,-2.171066678497304,1.6515795250816017,0.822,False,False
split,test_id,lesion_f1,120,0.6437408609908609,0.6029782814651236,0.6405050967550968,WideAugBaseline (ResEncM),0.003235764235764236,-0.01867060832685832,0.024670733086358084,0.753,False,False
split,test_ood,dice,129,0.6725323444041962,0.676393166542314,0.6699510176270496,WideAugBaseline (ResEncM),0.0025813267771464836,-0.008443824019745881,0.014841375433233803,0.677,False,False
split,test_ood,hd95_mm,129,13.493936144906726,14.214818501776529,14.357804267202482,WideAugBaseline (ResEncM),-0.12457152970230578,-1.6021246103811855,1.3603980138670255,0.897,False,False
split,test_ood,lesion_f1,129,0.6829211773010222,0.6688896554761627,0.6723775338002425,WideAugBaseline (ResEncM),0.010543643500779848,-0.021379959856647042,0.04399075549098348,0.521,False,False
size_bin,large,dice,78,0.8252391174553176,0.8324661921563976,0.8175185028629776,WideAugBaseline (ResEncM),0.00772061459234008,-0.0020002341557109954,0.022110353940311453,0.142,False,False
size_bin,large,hd95_mm,78,7.153438887182338,7.283055892992873,7.242469973196826,WideAugBaseline (ResEncM),-0.08903108601448867,-0.7252930991140487,0.5300889007219661,0.781,False,False
size_bin,large,lesion_f1,78,0.6958165410088488,0.6478860331980122,0.6852446698600544,WideAugBaseline (ResEncM),0.010571871148794229,-0.025666334199988042,0.044799459799459776,0.586,False,False
size_bin,medium,dice,84,0.6325429330368273,0.6270016360436196,0.6326145221614611,WideAugBaseline (ResEncM),-7.158912463379952e-05,-0.010142812334819697,0.009687103431770231,0.958,False,False
size_bin,medium,hd95_mm,84,16.83466045946184,18.836590842553832,18.100856659084204,WideAugBaseline (ResEncM),-0.270377383634464,-1.998353035114023,1.3717238043101612,0.765,False,False
size_bin,medium,lesion_f1,84,0.6522718397123158,0.6379473811362354,0.6451276198124936,WideAugBaseline (ResEncM),0.007144219899822143,-0.025597781815393857,0.04256244519304742,0.688,False,False
size_bin,small,dice,87,0.5237789938587335,0.5171546696021906,0.5314116760761572,WideAugBaseline (ResEncM),-0.007632682217423824,-0.023020575360362373,0.007325416779500941,0.342,False,False
size_bin,small,hd95_mm,87,24.590721762215903,26.831069252254515,25.141581487994465,WideAugBaseline (ResEncM),-0.13979708192649312,-3.2427241429172655,2.8671324188726772,0.941,False,False
size_bin,small,lesion_f1,87,0.6469104650139131,0.6266835485902422,0.6431897604311396,WideAugBaseline (ResEncM),0.0037207045827735478,-0.026536936084349882,0.03621459558959558,0.801,False,False
