,nnUNetTrainerBaseline_500epochs,nnUNetTrainerBaseline_500epochs (nnUNetResEncUNetMPlans),nnUNetTrainerFocalTversky_500epochs,nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full,nnUNetTrainerLesionAwareSamplingPow_500epochs_full,nnUNetTrainerLesionAwareSampling_500epochs_full,nnUNetTrainerTverskyMild_500epochs,nnUNetTrainerWideAugBaseline_500epochs,nnUNetTrainerWideAugBaseline_500epochs (nnUNetResEncUNetMPlans)
nnUNetTrainerBaseline_500epochs,1.0,0.8814616203308105,0.8741297125816345,0.8814889788627625,0.8878248333930969,0.9210041165351868,0.893222987651825,0.9374158978462219,0.891575038433075
nnUNetTrainerBaseline_500epochs (nnUNetResEncUNetMPlans),0.8814616203308105,1.0,0.8120275139808655,0.8432884812355042,0.8446832299232483,0.8566523790359497,0.8225732445716858,0.8851417303085327,0.9263978600502014
nnUNetTrainerFocalTversky_500epochs,0.8741297125816345,0.8120275139808655,1.0,0.7855784893035889,0.8072178959846497,0.8375006914138794,0.880585789680481,0.8620729446411133,0.8256595134735107
nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full,0.8814889788627625,0.8432884812355042,0.7855784893035889,1.0,0.91208416223526,0.8993081450462341,0.8274700045585632,0.8860920667648315,0.8599079251289368
nnUNetTrainerLesionAwareSamplingPow_500epochs_full,0.8878248333930969,0.8446832299232483,0.8072178959846497,0.91208416223526,1.0,0.9170986413955688,0.8391149640083313,0.9092367887496948,0.8571267127990723
nnUNetTrainerLesionAwareSampling_500epochs_full,0.9210041165351868,0.8566523790359497,0.8375006914138794,0.8993081450462341,0.9170986413955688,1.0,0.8709123134613037,0.9174831509590149,0.8765049576759338
nnUNetTrainerTverskyMild_500epochs,0.893222987651825,0.8225732445716858,0.880585789680481,0.8274700045585632,0.8391149640083313,0.8709123134613037,1.0,0.8889502286911011,0.8395049571990967
nnUNetTrainerWideAugBaseline_500epochs,0.9374158978462219,0.8851417303085327,0.8620729446411133,0.8860920667648315,0.9092367887496948,0.9174831509590149,0.8889502286911011,1.0,0.8914449214935303
nnUNetTrainerWideAugBaseline_500epochs (nnUNetResEncUNetMPlans),0.891575038433075,0.9263978600502014,0.8256595134735107,0.8599079251289368,0.8571267127990723,0.8765049576759338,0.8395049571990967,0.8914449214935303,1.0
