trainer,cluster_id,cluster_size,val_rank_in_cluster,recommended_action,reason
nnUNetTrainerFocalTversky_500epochs,1,1,2,keep (no redundant peer found),
nnUNetTrainerTverskyMild_500epochs,2,1,5,keep (no redundant peer found),
nnUNetTrainerBaseline_500epochs (nnUNetResEncUNetMPlans),3,1,1,keep (no redundant peer found),
nnUNetTrainerWideAugBaseline_500epochs (nnUNetResEncUNetMPlans),4,1,0,keep (no redundant peer found),
nnUNetTrainerBaseline_500epochs,5,1,3,keep (no redundant peer found),
nnUNetTrainerWideAugBaseline_500epochs,6,1,4,keep (no redundant peer found),
nnUNetTrainerLesionAwareSampling_500epochs_full,7,1,6,keep (no redundant peer found),
nnUNetTrainerLesionAwareSamplingPowCurriculum_500epochs_full,8,1,7,keep (no redundant peer found),
nnUNetTrainerLesionAwareSamplingPow_500epochs_full,9,1,8,keep (no redundant peer found),
