epoch,lr,train_loss,val_loss,pseudo_dice
147,0.00731,0.7989,0.7551,0.7716
148,0.00729,0.7515,0.6813,0.7877
149,0.00727,0.8081,0.7161,0.7865
150,0.00725,0.7355,0.7666,0.7781
151,0.00724,0.8031,0.7615,0.7945
152,0.00722,0.8033,0.7232,0.7882
153,0.0072,0.7485,0.8586,0.7272
154,0.00718,0.7424,0.8006,0.7668
155,0.00716,0.754,0.8107,0.7514
156,0.00714,0.7602,0.8487,0.717
157,0.00712,0.7712,0.8025,0.7411
158,0.0071,0.7579,0.833,0.7646
159,0.00709,0.7585,0.9285,0.7077
160,0.00707,0.7848,0.8286,0.7568
161,0.00705,0.7754,0.8365,0.7971
162,0.00703,0.7664,0.7935,0.7978
163,0.00701,0.8019,0.6746,0.7758
164,0.00699,0.766,0.6977,0.8054
165,0.00697,0.7435,0.7562,0.8027
166,0.00696,0.8097,0.8397,0.7332
167,0.00694,0.7225,0.7014,0.7663
168,0.00692,0.7761,0.7978,0.7151
169,0.0069,0.7635,0.8688,0.7401
170,0.00688,0.7405,0.7269,0.7948
171,0.00686,0.6943,0.7232,0.7697
172,0.00684,0.7376,0.745,0.7889
173,0.00682,0.7515,0.6751,0.7795
174,0.0068,0.7975,0.9028,0.7305
175,0.00679,0.8049,0.7972,0.7689
176,0.00677,0.7956,0.8413,0.7543
177,0.00675,0.7503,0.7155,0.7586
178,0.00673,0.7966,0.7833,0.7729
179,0.00671,0.7444,0.8234,0.7522
180,0.00669,0.7185,0.6783,0.8036
181,0.00667,0.6957,0.7404,0.7675
182,0.00665,0.711,0.7309,0.7605
183,0.00664,0.7995,0.7078,0.7811
184,0.00662,0.8281,0.7169,0.7263
185,0.0066,0.8078,0.8534,0.7314
186,0.00658,0.7896,0.8051,0.7529
187,0.00656,0.7994,0.7892,0.7615
188,0.00654,0.7325,0.6854,0.8073
189,0.00652,0.7759,0.8025,0.7483
190,0.0065,0.7621,0.7065,0.791
191,0.00648,0.7496,0.8117,0.7725
