epoch,lr,train_loss,val_loss,pseudo_dice
0,0.01,0.0733,0.0152,0.0
1,0.00998,-0.0107,-0.0754,0.2583
2,0.00996,-0.0635,-0.1212,0.4016
3,0.00995,-0.0983,-0.1559,0.4667
4,0.00993,-0.137,-0.1494,0.4275
5,0.00991,-0.1814,-0.1623,0.5063
6,0.00989,-0.2202,-0.2703,0.6023
7,0.00987,-0.2315,-0.3299,0.6793
8,0.00986,-0.2395,-0.2868,0.6018
9,0.00984,-0.2373,-0.307,0.6226
10,0.00982,-0.2929,-0.2775,0.5458
11,0.0098,-0.3029,-0.3328,0.6382
12,0.00978,-0.3112,-0.3089,0.5909
13,0.00977,-0.3176,-0.3785,0.7002
14,0.00975,-0.3493,-0.3632,0.6867
15,0.00973,-0.3192,-0.3328,0.638
16,0.00971,-0.3518,-0.3319,0.668
17,0.00969,-0.3425,-0.3373,0.636
18,0.00968,-0.3457,-0.391,0.67
19,0.00966,-0.3674,-0.3481,0.6752
20,0.00964,-0.345,-0.388,0.6764
21,0.00962,-0.3748,-0.3518,0.6815
22,0.0096,-0.3805,-0.3345,0.6705
23,0.00959,-0.3886,-0.394,0.7276
24,0.00957,-0.35,-0.4324,0.7382
25,0.00955,-0.3981,-0.4402,0.7485
26,0.00953,-0.3965,-0.4177,0.7099
27,0.00951,-0.402,-0.3805,0.688
28,0.00949,-0.4276,-0.4519,0.6856
29,0.00948,-0.4412,-0.3544,0.727
30,0.00946,-0.422,-0.4486,0.7289
31,0.00944,-0.4024,-0.4599,0.7421
32,0.00942,-0.439,-0.4754,0.7476
33,0.0094,-0.4046,-0.4569,0.7003
34,0.00939,-0.3962,-0.4217,0.6484
35,0.00937,-0.4183,-0.4478,0.7484
36,0.00935,-0.3948,-0.3608,0.6696
37,0.00933,-0.433,-0.483,0.7597
38,0.00931,-0.4293,-0.4841,0.7394
39,0.0093,-0.4629,-0.4521,0.6863
40,0.00928,-0.4437,-0.4715,0.723
41,0.00926,-0.4385,-0.4757,0.7305
42,0.00924,-0.4543,-0.428,0.719
43,0.00922,-0.4549,-0.4947,0.7592
44,0.0092,-0.4498,-0.5093,0.7181
45,0.00919,-0.4519,-0.4436,0.7349
46,0.00917,-0.4844,-0.4847,0.727
47,0.00915,-0.4572,-0.496,0.7788
48,0.00913,-0.4382,-0.5094,0.7468
49,0.00911,-0.4458,-0.4805,0.7315
50,0.0091,-0.4703,-0.4624,0.6987
51,0.00908,-0.4369,-0.5011,0.7422
52,0.00906,-0.4769,-0.494,0.751
