epoch,lr,train_loss,val_loss,pseudo_dice
133,0.00505,-0.5339,-0.5815,0.813
134,0.00501,-0.5243,-0.5131,0.8058
135,0.00497,-0.4991,-0.5707,0.7957
136,0.00493,-0.5423,-0.5623,0.8405
137,0.00489,-0.5332,-0.5364,0.7838
138,0.00485,-0.5294,-0.5448,0.8341
139,0.00482,-0.5454,-0.5946,0.8286
140,0.00478,-0.5523,-0.529,0.7767
141,0.00474,-0.545,-0.5777,0.8106
142,0.0047,-0.5527,-0.5548,0.7852
143,0.00466,-0.5559,-0.5365,0.8132
144,0.00462,-0.5686,-0.5181,0.7738
145,0.00458,-0.5585,-0.6137,0.839
146,0.00454,-0.5444,-0.5391,0.7753
147,0.0045,-0.5666,-0.5365,0.8351
148,0.00446,-0.5684,-0.5237,0.7992
149,0.00442,-0.5379,-0.5347,0.7951
150,0.00438,-0.5724,-0.5556,0.7915
151,0.00434,-0.565,-0.5702,0.8205
152,0.0043,-0.5716,-0.5563,0.8221
153,0.00427,-0.5716,-0.5673,0.8095
154,0.00423,-0.5499,-0.5537,0.7891
155,0.00419,-0.555,-0.5679,0.7778
156,0.00415,-0.5724,-0.5523,0.7855
157,0.00411,-0.575,-0.5623,0.7989
158,0.00407,-0.5477,-0.5834,0.7926
159,0.00403,-0.5652,-0.5404,0.7369
160,0.00399,-0.5641,-0.5363,0.793
161,0.00395,-0.5621,-0.4988,0.797
162,0.00391,-0.5272,-0.5715,0.8225
163,0.00387,-0.5346,-0.5733,0.7843
164,0.00383,-0.6031,-0.6329,0.8085
165,0.00379,-0.5583,-0.5939,0.8181
166,0.00375,-0.5583,-0.5305,0.7824
167,0.00371,-0.5634,-0.5194,0.8122
168,0.00367,-0.5759,-0.5516,0.81
169,0.00363,-0.5694,-0.5559,0.8131
170,0.00359,-0.5831,-0.5589,0.8099
171,0.00355,-0.5686,-0.5648,0.808
172,0.00351,-0.5926,-0.5963,0.8406
173,0.00346,-0.5695,-0.5852,0.8025
174,0.00342,-0.5593,-0.463,0.7829
175,0.00338,-0.5788,-0.5456,0.8055
176,0.00334,-0.5963,-0.5815,0.8418
177,0.0033,-0.5836,-0.5866,0.8178
178,0.00326,-0.5976,-0.5804,0.8083
179,0.00322,-0.5816,-0.5674,0.7834
180,0.00318,-0.5688,-0.5911,0.8329
181,0.00314,-0.5881,-0.5863,0.8118
182,0.0031,-0.604,-0.5822,0.7941
183,0.00306,-0.5804,-0.5481,0.8067
184,0.00302,-0.5824,-0.5785,0.8327
185,0.00297,-0.5764,-0.5607,0.7991
186,0.00293,-0.5926,-0.5863,0.821
187,0.00289,-0.584,-0.5546,0.7991
188,0.00285,-0.6003,-0.5956,0.8393
189,0.00281,-0.588,-0.5241,0.8174
190,0.00277,-0.5747,-0.6287,0.8319
191,0.00273,-0.6101,-0.5819,0.8409
192,0.00268,-0.5845,-0.571,0.8165
193,0.00264,-0.5965,-0.5153,0.8046
