epoch,lr,train_loss,val_loss,pseudo_dice
134,0.00755,-0.4791,-0.497,0.6936
135,0.00753,-0.475,-0.5188,0.7635
136,0.00751,-0.4705,-0.5454,0.7489
137,0.0075,-0.4453,-0.4987,0.7507
138,0.00748,-0.4865,-0.4844,0.7124
139,0.00746,-0.4633,-0.4718,0.7085
140,0.00744,-0.4743,-0.4934,0.7473
141,0.00742,-0.4677,-0.4949,0.7816
142,0.0074,-0.4779,-0.5291,0.7379
143,0.00738,-0.5005,-0.5619,0.7626
144,0.00737,-0.5009,-0.4489,0.7419
145,0.00735,-0.4826,-0.5355,0.8093
146,0.00733,-0.4846,-0.5625,0.7798
147,0.00731,-0.457,-0.5519,0.7699
148,0.00729,-0.4957,-0.4963,0.7233
149,0.00727,-0.4814,-0.5117,0.7437
150,0.00725,-0.4745,-0.4918,0.749
151,0.00724,-0.4656,-0.5375,0.7797
152,0.00722,-0.498,-0.5412,0.7669
153,0.0072,-0.5065,-0.5366,0.7557
154,0.00718,-0.4972,-0.4775,0.7169
155,0.00716,-0.4944,-0.4888,0.7467
156,0.00714,-0.5014,-0.5597,0.7451
157,0.00712,-0.4735,-0.5587,0.7605
158,0.0071,-0.4635,-0.5031,0.7702
159,0.00709,-0.5035,-0.5799,0.8006
160,0.00707,-0.5153,-0.524,0.7898
161,0.00705,-0.4653,-0.4895,0.7188
162,0.00703,-0.4897,-0.4869,0.7481
163,0.00701,-0.4624,-0.5854,0.8
164,0.00699,-0.4889,-0.5613,0.7787
165,0.00697,-0.4852,-0.5512,0.7404
166,0.00696,-0.49,-0.5254,0.7444
167,0.00694,-0.5249,-0.5022,0.7764
168,0.00692,-0.4785,-0.481,0.6556
169,0.0069,-0.4374,-0.5453,0.7621
170,0.00688,-0.4315,-0.5716,0.7846
171,0.00686,-0.4853,-0.5341,0.7646
172,0.00684,-0.4978,-0.5385,0.7711
173,0.00682,-0.4825,-0.5298,0.749
174,0.0068,-0.4903,-0.47,0.6622
175,0.00679,-0.465,-0.544,0.7561
176,0.00677,-0.5127,-0.495,0.75
177,0.00675,-0.4756,-0.5713,0.7433
178,0.00673,-0.497,-0.5712,0.799
179,0.00671,-0.5099,-0.5399,0.7877
180,0.00669,-0.496,-0.5363,0.7221
181,0.00667,-0.4926,-0.5483,0.7342
182,0.00665,-0.5103,-0.4867,0.7369
183,0.00664,-0.4881,-0.569,0.8001
184,0.00662,-0.5054,-0.5791,0.7987
185,0.0066,-0.5065,-0.5527,0.7798
186,0.00658,-0.4955,-0.4712,0.7414
187,0.00656,-0.4893,-0.5383,0.7848
188,0.00654,-0.4998,-0.5213,0.7547
189,0.00652,-0.4984,-0.544,0.7771
190,0.0065,-0.5029,-0.5194,0.7764
191,0.00648,-0.5156,-0.5278,0.7735
192,0.00647,-0.5011,-0.547,0.7529
193,0.00645,-0.4988,-0.5214,0.7547
194,0.00643,-0.5079,-0.4872,0.7447
195,0.00641,-0.5137,-0.5796,0.8169
196,0.00639,-0.5201,-0.5704,0.7949
197,0.00637,-0.4635,-0.5121,0.7414
198,0.00635,-0.4947,-0.5214,0.7569
199,0.00633,-0.5264,-0.4618,0.7793
200,0.00631,-0.5085,-0.5363,0.7749
201,0.0063,-0.496,-0.5205,0.7381
202,0.00628,-0.5041,-0.5266,0.7635
203,0.00626,-0.4855,-0.4881,0.752
204,0.00624,-0.4974,-0.5492,0.7724
205,0.00622,-0.5165,-0.5109,0.7494
206,0.0062,-0.5207,-0.5437,0.7611
207,0.00618,-0.5001,-0.5161,0.7718
208,0.00616,-0.5133,-0.5511,0.7744
209,0.00614,-0.5424,-0.5017,0.801
